Facility_No,Hospital_name,Address,City,Zip,long,lat,County,COUNTYFP,No_of_beds,No_of_physicians,Hospitalization_rate
123,Memorial Hermann Northeast Hospital,"18951 Memorial N,Humble,TX",Humble,77338,-95.276079,29.9956476,Harris,201,2836,107,52.96%
124,Kindred Hospital Bay Area,"4801 E Sam Houston Pkwy S,,TX",,77505,-95.161775,29.6392583,Harris,201,2740,59,16.37%
125,Memorial Hermann Southwest Hospital,"7600 Beechnut St,Houston,TX",Houston,77074,-95.5223629,29.6930168,Harris,201,2541,95,84.87%
126,Houston Methodist San Jacinto Hospital,"4401 Garth Rd,Baytown,TX",Baytown,77521,-94.9796029,29.7691568,Harris,201,2050,12,89.92%
127,Memorial Hermann Memorial City Medical Center,"921 N Gessner Dr,Houston,TX",Houston,77024,-95.5467233,29.9532931,Harris,201,1493,139,22.35%
128,Memorial Hermann - Texas Medical Center,"6411 Fannin St,Houston,TX",Houston,77030,-95.3963819,29.7138126,Harris,201,2307,84,77.56%
129,Houston Methodist St Catherine Hospital,"701 S Fry Rd,Katy,TX",Katy,77450,-95.7169845,29.7768354,Harris,201,2928,162,46.56%
130,St. Joseph Medical Center,"1919 La Branch St,Houston,TX",Houston,77002,-95.3658629,29.7470094,Harris,201,1491,71,85.50%
131,Houston Methodist Willowbrook Hospital,"18220 Tomball Parkway,Houston,TX",Houston,77070,-95.5507153,29.966903,Harris,201,872,174,61.04%
132,Bayshore Medical Center,"4000 Spencer Hwy,Pasadena,TX",Pasadena,77504,-95.1837849,29.6611026,Harris,201,328,94,28.66%
133,West Houston Medical Center,"12141 Richmond Ave,Houston,TX",Houston,77082,-95.5947219,29.7294486,Harris,201,2992,88,24.97%
134,Houston Northwest Medical Center,"710 F M 1960 W,Houston,TX",Houston,77090,-95.4425602,30.0204601,Harris,201,565,157,32.73%
135,Baylor-St. Luke's Medical Center,"6720 Bertner St,,TX",,77030,-95.4006224,29.7077057,Harris,201,1511,48,53.93%
136,Tomball Regional Medical Center,"605 Holderrieth St,Tomball,TX",Tomball,77375,-95.6236173,30.0874048,Harris,201,1337,133,68.21%
137,Park Plaza Hospital and Medical Center,"1313 Hermann Dr,Houston,TX",Houston,77004,-95.3875429,29.72272,Harris,201,2354,113,73.29%
138,Cypress Fairbanks Medical Center,"10655 Steepletop Dr,Houston,TX",Houston,77065,-95.5896443,29.9274997,Harris,201,2312,144,75.57%
139,St. Luke's Patients Medical Center,"4600 E Sam Houston Pkwy S,Pasadena,TX",Pasadena,77505,-95.1622681,29.6411341,Harris,201,917,123,4.09%
140,Memorial Hermann Katy Hospital,"23900 Katy Fwy,Katy,TX",Katy,77494,-95.7863342,29.7874335,Harris,201,1263,50,22.74%
141,University General Hospital,"7501 Fannin St,,TX",,77054,-95.4007451,29.6925858,Harris,201,2632,40,75.89%
142,Houston Methodist Hospital,"6565 Fannin St,Houston,TX",Houston,77030,-95.3997225,29.7099079,Harris,201,899,173,86.97%
143,Houston Methodist St John Hospital,"18300 Saint John Dr,Houston,TX",Houston,77058,-95.0867124,29.549376,Harris,201,1447,101,83.70%
144,Clear Lake Regional Medical Center,"500 Medical Center Blvd,Webster,TX",Webster,77598,-95.1277956,29.5410993,Harris,201,2310,134,39.11%
145,United Memorial Medical Center,"510 W Tidwell Rd,Houston,TX",Houston,77091,-95.4080651,29.8473774,Harris,201,124,21,71.30%
146,Kingwood Medical Center,"22999 US Hwy 59 N,Kingwood,TX",Kingwood,77339,-95.2548122,30.0500672,Harris,201,715,154,93.50%
147,Memorial Hermann Southeast Hospital,"11800 Astoria Blvd,Houston,TX",Houston,77089,-95.207877,29.582251,Harris,201,1715,88,58.16%
148,Ben Taub General Hospital,"1504 Taub Loop,Houston,TX",Houston,77030,-95.3937915,29.7106453,Harris,201,185,141,3.70%
149,Memorial Hermann Northwest Hospital,"1635 N Loop W,Houston,TX",Houston,77008,-95.430426,29.8115414,Harris,201,2585,132,75.15%
150,Lyndon B. Johnson General Hospital,"5656 Kelley St,Houston,TX",Houston,77026,-95.3124264,29.8116252,Harris,201,585,152,30.22%
151,Kindred Hospital Houston,"6441 Main St,,TX",,77030,-95.3999157,29.7126322,Harris,201,288,200,45.93%
152,Kindred Hospital Houston Northwest,"11297 Fallbrook Dr,,TX",,77065,-95.588074,29.924462,Harris,201,64,124,47.73%
153,The Woman's Hospital of Texas,"7600 Fannin St,Houston,TX",Houston,77054,-95.4020644,29.692992,Harris,201,530,132,64.86%
154,Memorial Hermann Katy Rehabilitation Hospital,"21720 Kingsland Blvd,Katy,TX",Katy,77450,-95.7460274,29.77621,Harris,201,2178,28,43.16%
155,TIRR Memorial Hermann,"1333 Moursund St,Houston,TX",Houston,77030,-95.3940422,29.7093621,Harris,201,2005,156,89.07%
156,Plaza Specialty Hospital,"1300 Binz St,Houston,TX",Houston,77004,-95.3866962,29.723999,Harris,201,890,186,94.32%
157,Quentin Mease Community Hospital,"3601 N MacGregor Way,Houston,TX",Houston,77004,-95.3596902,29.7112148,Harris,201,475,26,91.13%
158,Texas Orthopedic Hospital,"7401 S Main St,Houston,TX",Houston,77030,-95.4088921,29.7004947,Harris,201,1013,124,22.53%
159,Memorial Hermann Orthopedic and Spine Hospital,"5410 West Loop S,Bellaire,TX",Bellaire,77401,-95.4611439,29.7235786,Harris,201,2900,85,6.21%
160,Texas Children's Hospital - Pavilion for Woman,"6651 Main Street,Houston,TX",Houston,77030,-95.402457,29.7092717,Harris,201,1985,82,33.71%
161,Texas Children's Hospital,"6621 Fannin St,Houston,TX",Houston,77030,-95.4016041,29.7078462,Harris,201,1025,35,45.19%
162,Texas Childrens Hospital West Campus,"18200 Katy Fwy,Houston,TX",Houston,77094,-95.6928659,29.7878773,Harris,201,1021,125,67.56%
163,Metro Ortho and Spine Surgery Center of Oakbend,"4219 Richmond Avenue,Houston,TX",Houston,77027,-95.4453087,29.7321341,Harris,201,2044,16,60.40%
164,Elite Minimally Invasive Surgery of Oakbend Health,"6655 Travis Street,Houston,TX",Houston,77030,-95.4037313,29.709474,Harris,201,1319,51,61.00%
165,Houston Methodist St John ASC Nassau Bay,"2020 Nasa Pkwy,Nassau Bay,TX",Nassau Bay,77058,-95.0882583,29.5506724,Harris,201,1920,131,24.68%
166,UGH Baytown Endoscopy Center,"910 N Highway 146,,TX",,77520,-94.9511569,29.3920061,Harris,201,93,183,50.09%
167,Memorial Hermann Digestive Disease Center,"6400 Fannin,Houston,TX",Houston,77030,-95.3971455,29.7151107,Harris,201,2962,86,24.53%
168,Baylor College of Medicine Ambulatory Surgery Center,"1977 Butler Blvd,,TX",,77030,-95.3927281,29.7010334,Harris,201,746,35,73.68%
169,River Oaks Surgery Center of Oak Bend Health System,"4120 Southwest Freeway,Houston,TX",Houston,77027,-95.4441216,29.7297921,Harris,201,1389,114,76.45%
170,Good Shepherd Medical Center - Marshall,"811 S Washington Ave,Marshall,TX",Marshall,75670,-94.3691998,32.5370749,Harrison,203,2029,183,39.24%
171,Seton Medical Center Hays,"6001 Kyle Pkwy,Kyle,TX",Kyle,78640,-97.8531164,30.0084891,Hays,209,1563,89,14.71%
172,Central Texas Medical Center,"1301 Wonder World Dr,San Marcos,TX",San Marcos,78666,-97.945751,29.8521439,Hays,209,2414,47,44.09%
173,East Texas Medical Center - Athens,"2000 S Palestine St,Athens,TX",Athens,75751,-95.844688,32.16988,Henderson,213,2818,41,85.99%
174,Rio Grande Surgery Center,"1809 S Cynthia Street,McAllen,TX",McAllen,78503,-98.2191676,26.1846821,Hidalgo,215,818,166,75.98%
175,McAllen Heart Hospital,"1900 S D St,McAllen,TX",McAllen,78503,-98.2180775,26.1838055,Hidalgo,215,2531,16,49.83%
176,Women's Hospital Renaissance,"5502 S McColl Rd,Edinburg,TX",Edinburg,78539,-98.203186,26.25239,Hidalgo,215,185,61,76.71%
177,McAllen Medical Center,"301 W Expressway 83,McAllen,TX",McAllen,78503,-98.225911,26.186591,Hidalgo,215,1792,154,47.05%
178,Knapp Medical Center,"1401 E 8th St,Weslaco,TX",Weslaco,78596,-97.9775078,26.1534698,Hidalgo,215,114,70,27.49%
179,Edinburg Regional Medical Center,"1102 W Trenton Rd,Edinburg,TX",Edinburg,78539,-98.1818253,26.2613094,Hidalgo,215,1509,63,56.85%
180,Doctors Hospital at Renaissance,"5501 S McColl Rd,Edinburg,TX",Edinburg,78539,-98.2053376,26.2526609,Hidalgo,215,2519,72,16.18%
181,Rio Grande Regional Hospital,"101 E Ridge Rd,Mc Allen,TX",Mc Allen,78503,-98.2222115,26.1863368,Hidalgo,215,1972,181,80.00%
182,Mission Regional Medical Center,"900 S Bryan Rd,Mission,TX",Mission,78572,-98.3140935,26.196656,Hidalgo,215,725,189,23.65%
183,Doctors Hospital at Renaissance Outpatient Surgical Center,"5520 Leonardo Da Vince,Edinburg,TX",Edinburg,78539,-98.2029487,26.2527493,Hidalgo,215,506,194,10.52%
184,Covenant Hospital-Levelland,"1900 College Ave,Levelland,TX",Levelland,79336,-102.3688507,33.5727585,Hockley,219,1041,183,99.56%
185,East Texas Medical Center - Crockett,"1100 E Loop 304,,TX",,75835,-95.4383983,31.3238846,Houston,225,1602,163,88.37%
186,Golden Plains Community Hospital,"200 S McGee St,Borger,TX",Borger,79007,-101.3948177,35.6648322,Hutchinson,233,1625,137,86.01%
187,CHRISTUS Jasper Memorial Hospital,"1275 Marvin Hancock Dr,Jasper,TX",Jasper,75951,-94.0085087,30.9078435,Jasper,241,141,164,53.10%
188,The Medical Center of Southeast TX-Victory Campus,"2555 Jimmy Johnson Blvd,Port Arthur,TX",Port Arthur,77640,-93.988752,29.9354166,Jefferson,245,2558,184,67.60%
189,CHRISTUS Hospital St. Elizabeth,"2830 Calder Ave,Beaumont,TX",Beaumont,77702,-94.1321453,30.086975,Jefferson,245,450,152,71.65%
190,CHRISTUS Hospital St. Mary,"3600 Gates Blvd,Port Arthur,TX",Port Arthur,77642,-93.9240564,29.9093752,Jefferson,245,283,155,98.11%
191,The Medical Center of Southeast Texas,"2555 Jimmy Johnson Blvd,Port Arthur,TX",Port Arthur,77640,-93.988752,29.9354166,Jefferson,245,177,174,57.72%
